Ticker,Earnings Date
CSCO,2023-02-15
CSCO,2022-11-16
CSCO,2022-08-17
CSCO,2022-05-18
CSCO,2022-02-16
CSCO,2021-11-17
CSCO,2021-08-18
DELL,2026-02-26
DELL,2025-11-25
DELL,2025-08-28
DELL,2025-05-29
DELL,2025-02-27
DELL,2024-11-26
DELL,2024-08-29
DELL,2024-05-30
DELL,2024-02-29
DELL,2023-11-30
DELL,2023-08-31
DELL,2023-06-01
DELL,2023-03-02
DELL,2022-11-21
DELL,2022-08-25
DELL,2022-05-26
DELL,2022-02-24
DELL,2021-11-23
DELL,2021-08-26
DELL,2021-05-27
DOV,2026-04-22
DOV,2026-01-28
DOV,2025-10-22
DOV,2025-07-23
DOV,2025-04-24
DOV,2025-01-30
DOV,2024-10-24
DOV,2024-07-25
DOV,2024-04-25
DOV,2024-02-01
DOV,2023-10-24
DOV,2023-07-25
DOV,2023-04-26
DOV,2023-01-31
DOV,2022-10-20
DOV,2022-07-21
DOV,2022-04-21
DOV,2022-01-27
DOV,2021-10-19
DOV,2021-07-20
ECL,2026-04-27
ECL,2026-02-09
ECL,2025-10-27
ECL,2025-07-28
ECL,2025-04-29
ECL,2025-02-11
ECL,2024-10-29
ECL,2024-07-30
ECL,2024-04-30
ECL,2024-02-13
ECL,2023-10-31
ECL,2023-08-01
ECL,2023-05-02
ECL,2023-02-14
ECL,2022-11-01
ECL,2022-07-26
ECL,2022-04-26
ECL,2022-02-15
ECL,2021-10-26
ECL,2021-07-27
ENS,2026-05-19
ENS,2026-02-03
ENS,2025-11-04
ENS,2025-08-05
ENS,2025-05-21
ENS,2025-02-05
ENS,2024-11-06
ENS,2024-08-07
ENS,2024-05-22
ENS,2024-02-07
ENS,2023-11-08
ENS,2023-08-09
ENS,2023-05-24
ENS,2023-02-08
ENS,2022-11-09
ENS,2022-08-10
ENS,2022-05-25
ENS,2022-02-09
ENS,2021-11-10
ENS,2021-08-11
ETN,2026-04-30
ETN,2026-01-29
ETN,2025-10-29
ETN,2025-07-30
ETN,2025-05-02
ETN,2025-01-31
ETN,2024-10-31
ETN,2024-08-01
ETN,2024-04-30
ETN,2024-02-01
ETN,2023-10-31
ETN,2023-08-01
ETN,2023-05-02
ETN,2023-02-08
ETN,2022-11-01
ETN,2022-08-02
ETN,2022-05-03
ETN,2022-02-04
ETN,2021-11-02
ETN,2021-08-03
FTNT,2026-05-05
FTNT,2026-02-04
FTNT,2025-11-05
FTNT,2025-08-04
FTNT,2025-05-07
FTNT,2025-02-06
FTNT,2024-11-07
FTNT,2024-08-06
FTNT,2024-05-02
FTNT,2024-02-06
FTNT,2023-11-02
FTNT,2023-08-03
FTNT,2023-05-04
FTNT,2023-02-07
FTNT,2022-11-02
FTNT,2022-08-03
FTNT,2022-05-04
FTNT,2022-02-03
FTNT,2021-11-04
FTNT,2021-07-29
GE,2026-04-20
GE,2026-01-21
GE,2025-10-20
GE,2025-07-22
GE,2025-04-22
GE,2025-01-23
GE,2024-10-22
GE,2024-07-23
GE,2024-04-23
GE,2024-01-23
GE,2023-10-24
GE,2023-07-25
GE,2023-04-25
GE,2023-01-24
GE,2022-10-25
GE,2022-07-26
GE,2022-04-26
GE,2022-01-25
GE,2021-10-26
GE,2021-07-27
GNRC,2026-04-28
GNRC,2026-02-10
GNRC,2025-10-29
GNRC,2025-07-28
GNRC,2025-04-30
GNRC,2025-02-12
GNRC,2024-10-31
GNRC,2024-07-31
GNRC,2024-05-01
GNRC,2024-02-14
GNRC,2023-11-01
GNRC,2023-08-02
GNRC,2023-05-03
GNRC,2023-02-15
GNRC,2022-11-02
GNRC,2022-08-03
GNRC,2022-05-04
GNRC,2022-02-16
GNRC,2021-11-02
GNRC,2021-07-28
GOOG,2026-04-22
GOOG,2026-02-02
GOOG,2025-10-27
GOOG,2025-07-21
GOOG,2025-04-24
GOOG,2025-02-04
GOOG,2024-10-29
GOOG,2024-07-23
GOOG,2024-04-25
GOOG,2024-01-30
GOOG,2023-10-24
GOOG,2023-07-25
GOOG,2023-04-25
GOOG,2023-02-02
GOOG,2022-10-25
GOOG,2022-07-26
GOOG,2022-04-26
GOOG,2022-02-01
GOOG,2021-10-26
GOOG,2021-07-27
HD,2026-05-18
HD,2026-02-23
HD,2025-11-18
HD,2025-08-19
HD,2025-05-20
HD,2025-02-25
HD,2024-11-12
HD,2024-08-13
HD,2024-05-14
HD,2024-02-20
HD,2023-11-14
HD,2023-08-15
HD,2023-05-16
HD,2023-02-21
HD,2022-11-15
HD,2022-08-16
HD,2022-05-17
HD,2022-02-22
HD,2021-11-16
HD,2021-08-17
HTCMY,2026-04-23
HTCMY,2026-01-26
HTCMY,2025-10-23
HTCMY,2025-07-24
HTCMY,2025-04-25
HTCMY,2025-01-27
IBM,2026-04-21
IBM,2026-01-27
IBM,2025-10-22
IBM,2025-07-23
IBM,2025-04-23
IBM,2025-01-29
IBM,2024-10-23
IBM,2024-07-24
IBM,2024-04-24
IBM,2024-01-24
IBM,2023-10-25
IBM,2023-07-19
IBM,2023-04-19
IBM,2023-01-25
IBM,2022-10-19
IBM,2022-07-18
IBM,2022-04-19
IBM,2022-01-24
IBM,2021-10-20
IBM,2021-07-19
JNPR,2026-04-29
JNPR,2026-02-02
JNPR,2025-10-29
JNPR,2025-07-23
JNPR,2025-05-01
JNPR,2025-02-04
JNPR,2024-10-31
JNPR,2024-07-25
JNPR,2024-04-25
JNPR,2024-01-30
JNPR,2023-10-26
JNPR,2023-07-27
JNPR,2023-04-25
JNPR,2023-01-31
JNPR,2022-10-25
JNPR,2022-07-26
JNPR,2022-04-26
JNPR,2022-01-27
JNPR,2021-10-26
JNPR,2021-07-27
LGRVF,2026-05-05
LGRVF,2026-02-11
LGRVF,2025-11-05
LGRVF,2025-07-31
LGRVF,2025-05-07
LGRVF,2025-02-13
LOW,2026-05-19
LOW,2026-02-25
LOW,2025-11-19
LOW,2025-08-20
LOW,2025-05-21
LOW,2025-02-26
LOW,2024-11-19
LOW,2024-08-20
LOW,2024-05-21
LOW,2024-02-27
LOW,2023-11-21
LOW,2023-08-22
LOW,2023-05-23
LOW,2023-03-01
LOW,2022-11-16
LOW,2022-08-17
LOW,2022-05-18
LOW,2022-02-23
LOW,2021-11-17
LOW,2021-08-18
META,2026-04-28
META,2026-01-27
META,2025-10-28
META,2025-07-29
META,2025-04-30
META,2025-01-29
META,2024-10-30
META,2024-07-31
META,2024-04-24
META,2024-02-01
META,2023-10-25
META,2023-07-26
META,2023-04-26
META,2023-02-01
META,2022-10-26
META,2022-07-27
META,2022-04-27
META,2022-02-02
META,2021-10-25
META,2021-07-28
MMNNF,2026-04-27
MMNNF,2026-01-29
MMNNF,2025-10-24
MMNNF,2025-07-18
MMNNF,2025-04-29
MMNNF,2025-02-05
MOD,2026-05-18
MOD,2026-02-02
MOD,2025-10-27
MOD,2025-07-28
MOD,2025-05-20
MOD,2025-02-04
MOD,2024-10-29
MOD,2024-07-30
MOD,2024-05-21
MOD,2024-01-30
MOD,2023-11-01
MOD,2023-08-02
MOD,2023-05-24
MOD,2023-02-01
MOD,2022-11-02
MOD,2022-08-03
MOD,2022-05-25
MOD,2022-02-02
MOD,2021-11-02
MOD,2021-08-04
MPWR,2026-04-29
MPWR,2026-02-04
MPWR,2025-10-28
MPWR,2025-07-30
MPWR,2025-05-01
MPWR,2025-02-06
MPWR,2024-10-30
MPWR,2024-08-01
MPWR,2024-05-01
MPWR,2024-02-07
MPWR,2023-10-30
MPWR,2023-07-31
MPWR,2023-05-04
MPWR,2023-02-08
MPWR,2022-10-27
MPWR,2022-08-01
MPWR,2022-05-02
MPWR,2022-02-10
MPWR,2021-10-28
MPWR,2021-07-27
MSFT,2026-04-28
MSFT,2026-01-27
MSFT,2025-10-28
MSFT,2025-07-28
MSFT,2025-04-30
MSFT,2025-01-29
MSFT,2024-10-30
MSFT,2024-07-30
MSFT,2024-04-25
MSFT,2024-01-30
MSFT,2023-10-24
MSFT,2023-07-25
MSFT,2023-04-25
MSFT,2023-01-24
MSFT,2022-10-25
MSFT,2022-07-26
MSFT,2022-04-26
MSFT,2022-01-25
MSFT,2021-10-26
MSFT,2021-07-27
NVDA,2026-02-24
NVDA,2025-11-18
NVDA,2025-11-18
NVDA,2025-08-26
NVDA,2025-05-28
NVDA,2025-02-26
NVDA,2024-11-20
NVDA,2024-08-28
NVDA,2024-05-22
NVDA,2024-02-21
NVDA,2023-11-21
NVDA,2023-08-23
NVDA,2023-05-24
NVDA,2023-02-22
NVDA,2022-11-16
NVDA,2022-08-24
NVDA,2022-05-25
NVDA,2022-02-16
NVDA,2021-11-17
NVDA,2021-08-18
NVT,2026-02-03
NVT,2025-11-03
NVT,2025-08-04
NVT,2025-05-02
NVT,2025-02-06
NVT,2024-11-05
NVT,2024-08-06
NVT,2024-05-03
NVT,2024-02-06
NVT,2023-10-27
NVT,2023-07-28
NVT,2023-02-07
NVT,2022-10-28
NVT,2022-07-29
NVT,2022-04-29
NVT,2022-02-08
NVT,2021-10-28
NVT,2021-08-03
NVT,2021-04-29
NVT,2021-02-09
ORCL,2026-03-09
ORCL,2025-12-08
ORCL,2025-09-08
ORCL,2025-06-09
ORCL,2025-03-10
ORCL,2024-12-09
ORCL,2024-09-09
ORCL,2024-06-11
ORCL,2024-03-11
ORCL,2023-12-11
ORCL,2023-09-11
ORCL,2023-06-12
ORCL,2023-03-09
ORCL,2022-12-12
ORCL,2022-09-12
ORCL,2022-06-13
ORCL,2022-03-10
ORCL,2021-12-09
ORCL,2021-09-13
ORCL,2021-06-15
PANW,2026-05-18
PANW,2026-02-11
PANW,2025-11-18
PANW,2025-08-18
PANW,2025-05-20
PANW,2025-02-13
PANW,2024-11-20
PANW,2024-08-19
PANW,2024-05-20
PANW,2024-02-20
PANW,2023-11-15
PANW,2023-08-18
PANW,2023-05-23
PANW,2023-02-21
PANW,2022-11-17
PANW,2022-08-22
PANW,2022-05-19
PANW,2022-02-22
PANW,2021-11-18
PANW,2021-08-23
QCOM,2026-04-28
QCOM,2026-02-03
QCOM,2025-11-04
QCOM,2025-07-29
QCOM,2025-04-30
QCOM,2025-02-05
QCOM,2024-11-06
QCOM,2024-07-31
QCOM,2024-05-01
QCOM,2024-01-31
QCOM,2023-11-01
QCOM,2023-08-02
QCOM,2023-05-03
QCOM,2023-02-02
QCOM,2022-11-02
QCOM,2022-07-27
QCOM,2022-04-27
QCOM,2022-02-02
QCOM,2021-11-03
QCOM,2021-07-28
SBGSF,2026-02-18
SBGSF,2025-07-31
SBGSF,2025-02-20
SCTBF,2026-05-06
SCTBF,2026-02-04
SCTBF,2025-11-06
SCTBF,2025-07-30
SCTBF,2025-07-28
SCTBF,2025-05-08
SCTBF,2025-02-06
SMCI,2026-05-04
SMCI,2026-02-09
SMCI,2025-11-03
SMCI,2025-08-04
SMCI,2025-05-06
SMCI,2025-04-29
SMCI,2025-02-25
SMCI,2025-02-11
SMCI,2024-08-06
SMCI,2024-04-30
SMCI,2024-01-29
SMCI,2023-11-01
SMCI,2023-08-08
SMCI,2023-05-02
SMCI,2023-01-31
SMCI,2022-11-01
SMCI,2022-08-09
SMCI,2022-05-03
SMCI,2022-02-01
SMCI,2021-11-02
SMNEY,2026-05-06
SMNEY,2026-02-10
SMNEY,2025-11-14
SMNEY,2025-08-06
SMNEY,2025-05-08
SMNEY,2025-04-16
SMNEY,2025-02-12
SMNEY,2025-01-28
TT,2026-01-26
TT,2025-10-27
TT,2025-07-28
TT,2025-04-30
TT,2025-01-30
TT,2024-10-30
TT,2024-07-31
TT,2024-04-30
TT,2024-02-01
TT,2023-11-01
TT,2023-08-02
TT,2023-05-03
TT,2023-02-02
TT,2022-11-02
TT,2022-08-03
TT,2022-05-04
TT,2022-01-31
TT,2021-11-03
TT,2021-08-04
TT,2021-05-05
TXN,2026-04-21
TXN,2026-01-21
TXN,2025-10-20
TXN,2025-07-21
TXN,2025-04-23
TXN,2025-01-23
TXN,2024-10-22
TXN,2024-07-23
TXN,2024-04-23
TXN,2024-01-23
TXN,2023-10-24
TXN,2023-07-25
TXN,2023-04-25
TXN,2023-01-24
TXN,2022-10-25
TXN,2022-07-26
TXN,2022-04-26
TXN,2022-01-25
TXN,2021-10-26
TXN,2021-07-21
VRT,2026-04-21
VRT,2026-02-10
VRT,2025-10-21
VRT,2025-10-21
VRT,2025-07-22
VRT,2025-04-23
VRT,2025-02-12
VRT,2024-10-23
VRT,2024-07-24
VRT,2024-04-24
VRT,2024-02-21
VRT,2023-10-25
VRT,2023-08-02
VRT,2023-04-26
VRT,2023-02-22
VRT,2022-10-26
VRT,2022-08-03
VRT,2022-04-27
VRT,2022-02-25
VRT,2021-10-27
